"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 1983","345.00","346.75","347.75","343.75","6.80K","-0.79%"
"Aug 08, 1983","347.75","350.50","354.50","342.25","11.58K","-0.57%"
"Aug 05, 1983","349.75","341.50","350.50","340.50","10.51K","2.49%"
"Aug 04, 1983","341.25","343.75","345.00","338.50","10.15K","-0.29%"
"Aug 03, 1983","342.25","337.00","342.50","334.00","11.43K","2.32%"
"Aug 02, 1983","334.50","335.50","337.50","333.50","10.03K","1.29%"
"Aug 01, 1983","330.25","322.75","330.25","320.50","13.28K","3.12%"
"Jul 29, 1983","320.25","322.50","323.50","319.50","10.59K","-0.77%"
"Jul 28, 1983","322.75","323.00","324.00","320.00","10.05K","1.89%"
"Jul 27, 1983","316.75","318.25","320.00","314.75","10.99K","-0.63%"
"Jul 26, 1983","318.75","325.00","325.50","316.00","17.08K","-1.39%"
"Jul 25, 1983","323.25","320.25","323.75","318.00","9.05K","-0.69%"
"Jul 22, 1983","325.50","324.75","327.50","321.50","10.97K","1.24%"
"Jul 21, 1983","321.50","331.88","333.75","315.00","20.00K","-4.88%"
"Jul 20, 1983","338.00","338.00","341.50","336.00","-","0.67%"
"Jul 19, 1983","335.75","329.50","336.00","327.00","1.17K","2.36%"
"Jul 18, 1983","328.00","327.25","329.00","323.00","2.02K","-0.53%"
"Jul 15, 1983","329.75","331.25","333.00","327.00","1.25K","0.23%"
"Jul 14, 1983","329.00","327.75","330.00","326.25","0.88K","0.61%"
"Jul 13, 1983","327.00","332.00","333.00","323.75","2.28K","-2.02%"
"Jul 12, 1983","333.75","334.00","335.00","331.75","2.66K","0.23%"
"Jul 11, 1983","333.00","333.75","336.00","331.00","6.06K","0.99%"
"Jul 08, 1983","329.75","325.75","330.50","324.50","5.58K","1.15%"
"Jul 07, 1983","326.00","323.25","326.25","323.00","6.74K","0.85%"
"Jul 06, 1983","323.25","320.25","323.50","320.00","6.90K","1.17%"
"Jul 05, 1983","319.50","318.38","320.00","317.25","4.44K","0.16%"
"Jul 01, 1983","319.00","318.88","320.00","317.50","8.35K","0.31%"
"Jun 30, 1983","318.00","319.75","320.50","317.50","10.65K","0.08%"
"Jun 29, 1983","317.75","319.50","320.00","317.25","15.05K","-0.39%"
"Jun 28, 1983","319.00","317.25","320.00","317.00","11.33K","0.55%"
"Jun 27, 1983","317.25","315.75","318.25","314.25","12.05K","-0.31%"
